id,sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method
38,38,INV-202301-00038,2023-01-16 00:00:00,4145,1099,1,86.80,86.80,pood,Tartu,järelmaks
39,39,INV-202301-00039,2023-01-16 00:00:00,3629,1013,2,218.99,437.98,pood,Tallinn,kaart
40,40,INV-202301-00040,2023-01-29 00:00:00,4893,1243,2,184.02,368.04,online,,sularaha
41,41,INV-202301-00041,2023-01-07 00:00:00,4239,1305,4,50.77,203.08,pood,Tallinn,sularaha
42,42,INV-202301-00042,2023-01-22 00:00:00,,1260,2,130.36,260.72,pood,Tallinn,sularaha
43,43,INV-202301-00043,2023-01-19 00:00:00,2247,1064,1,95.87,95.87,pood,Tallinn,sularaha
44,44,INV-202301-00044,2023-01-26 00:00:00,4612,1060,1,253.26,253.26,online,,järelmaks
45,45,INV-202301-00045,2023-01-08 00:00:00,4150,1258,3,84.41,253.23,pood,Tartu,järelmaks
46,46,INV-202301-00046,2023-01-14 00:00:00,3648,1104,2,191.48,382.96,online,,sularaha
47,47,INV-202301-00047,2023-01-07 00:00:00,3457,1345,1,225.81,225.81,pood,Tallinn,sularaha
48,48,INV-202301-00048,2023-01-01 00:00:00,3514,1065,1,48.58,48.58,pood,Tallinn,järelmaks
49,49,INV-202301-00049,2023-01-12 00:00:00,4755,1221,1,350.19,350.19,online,,järelmaks
50,50,INV-202301-00050,2023-01-28 00:00:00,2025,1092,1,144.20,144.20,pood,Tallinn,sularaha
51,51,INV-202301-00051,2023-01-07 00:00:00,3493,1247,1,29.48,29.48,pood,Tallinn,sularaha
52,52,INV-202301-00052,2023-01-15 00:00:00,2574,1340,4,229.01,916.04,online,,kaart
53,53,INV-202301-00053,2023-01-02 00:00:00,2927,1238,2,72.73,145.46,pood,Tallinn,sularaha
54,54,INV-202301-00054,2023-01-06 00:00:00,3764,1153,1,79.59,79.59,online,,kaart
55,55,INV-202301-00055,2023-01-22 00:00:00,,1084,2,156.13,312.26,online,,järelmaks
56,56,INV-202301-00056,2023-01-28 00:00:00,4517,1333,1,218.54,218.54,pood,Tallinn,järelmaks
57,57,INV-202301-00057,2023-01-31 00:00:00,2317,1136,2,94.25,188.50,online,,sularaha
58,58,INV-202301-00058,2023-01-19 00:00:00,4206,1350,1,270.69,270.69,pood,Pärnu,kaart
59,59,INV-202301-00059,2023-01-14 00:00:00,4490,1228,5,160.71,803.55,pood,Tallinn,järelmaks
60,60,INV-202301-00060,2023-01-18 00:00:00,3633,1272,1,183.31,183.31,pood,Tartu,sularaha
61,61,INV-202301-00061,2023-01-10 00:00:00,3123,1055,1,65.60,65.60,online,,sularaha
62,62,INV-202301-00062,2023-01-16 00:00:00,3530,1350,1,270.69,270.69,online,,kaart
63,63,INV-202301-00063,2023-01-09 00:00:00,4542,1213,2,132.30,264.60,pood,Tartu,järelmaks
64,64,INV-202301-00064,2023-01-30 00:00:00,2638,1311,1,153.11,153.11,pood,Tallinn,järelmaks
65,65,INV-202301-00065,2023-01-14 00:00:00,2767,1275,1,62.82,62.82,pood,Tartu,järelmaks
66,66,INV-202301-00066,2023-01-03 00:00:00,2017,1189,1,58.49,58.49,pood,Tallinn,järelmaks
67,67,INV-202301-00067,2023-01-14 00:00:00,3163,1075,3,278.59,835.77,online,,järelmaks
68,68,INV-202301-00068,2023-01-22 00:00:00,3452,1002,1,274.78,274.78,online,,järelmaks
69,69,INV-202301-00069,2023-01-01 00:00:00,2230,1050,1,145.72,145.72,pood,Tartu,järelmaks
70,70,INV-202301-00070,2023-01-20 00:00:00,4255,1240,1,356.57,356.57,pood,Tallinn,kaart
71,71,INV-202301-00071,2023-01-31 00:00:00,2734,1119,2,181.68,363.36,online,,järelmaks
72,72,INV-202301-00072,2023-01-29 00:00:00,3953,1023,2,38.70,77.40,pood,Tallinn,sularaha
73,73,INV-202301-00073,2023-01-18 00:00:00,3789,1183,2,231.13,462.26,pood,Pärnu,kaart
74,74,INV-202301-00074,2023-01-02 00:00:00,,1204,1,63.95,63.95,pood,Pärnu,kaart
75,75,INV-202301-00075,2023-01-05 00:00:00,4454,1290,4,105.23,420.92,online,,sularaha
76,76,INV-202301-00076,2023-01-26 00:00:00,2755,1259,4,229.55,918.20,online,,kaart
77,77,INV-202301-00077,2023-01-04 00:00:00,4178,1275,3,62.82,188.46,online,,sularaha
78,78,INV-202301-00078,2023-01-09 00:00:00,,1274,3,234.79,704.37,pood,Tartu,kaart
79,79,INV-202301-00079,2023-01-02 00:00:00,4896,1289,2,171.33,342.66,pood,Tallinn,sularaha
80,80,INV-202301-00080,2023-01-17 00:00:00,4259,1053,1,113.86,113.86,pood,Tartu,sularaha
81,81,INV-202301-00081,2023-01-18 00:00:00,3011,1156,1,221.89,221.89,online,,järelmaks
82,82,INV-202301-00082,2023-01-11 00:00:00,3251,1001,2,157.49,314.98,pood,Tallinn,järelmaks
83,83,INV-202301-00083,2023-01-02 00:00:00,4624,1198,2,291.72,583.44,pood,Tallinn,kaart
84,84,INV-202301-00084,2023-01-28 00:00:00,4952,1160,1,368.67,368.67,pood,Tallinn,järelmaks
85,85,INV-202301-00085,2023-01-04 00:00:00,2609,1243,1,184.02,184.02,pood,Pärnu,sularaha
86,86,INV-202301-00086,2023-01-29 00:00:00,2890,1118,1,109.42,109.42,pood,Pärnu,järelmaks
87,87,INV-202301-00087,2023-01-07 00:00:00,2677,1070,1,139.74,139.74,pood,Tallinn,kaart
88,88,INV-202301-00088,2023-01-04 00:00:00,4001,1082,2,100.93,201.86,pood,Tallinn,kaart
89,89,INV-202301-00089,2023-01-31 00:00:00,2889,1275,2,62.82,125.64,pood,Tallinn,kaart
90,90,INV-202301-00090,2023-01-09 00:00:00,2206,1200,2,105.29,210.58,pood,Pärnu,kaart
91,91,INV-202301-00091,2023-01-15 00:00:00,4238,1107,2,279.43,558.86,pood,Tartu,järelmaks
92,92,INV-202301-00092,2023-01-29 00:00:00,2704,1142,2,307.27,614.54,pood,Tallinn,järelmaks
93,93,INV-202301-00093,2023-01-24 00:00:00,4131,1003,2,52.04,104.08,pood,Tallinn,järelmaks
94,94,INV-202301-00094,2023-01-28 00:00:00,3261,1319,1,290.55,290.55,pood,Pärnu,sularaha
95,95,INV-202301-00095,2023-01-03 00:00:00,4000,1227,2,120.17,240.34,online,,järelmaks
96,96,INV-202301-00096,2023-01-21 00:00:00,3605,1071,1,237.71,237.71,online,,kaart
97,97,INV-202301-00097,2023-01-20 00:00:00,4597,1312,3,243.93,731.79,pood,Tartu,kaart
98,98,INV-202301-00098,2023-01-03 00:00:00,2472,1034,1,207.23,207.23,pood,Tartu,järelmaks
99,99,INV-202301-00099,2023-01-08 00:00:00,4264,1080,1,51.50,51.50,pood,Tallinn,sularaha
100,100,INV-202301-00100,2023-01-24 00:00:00,3350,1136,2,94.25,188.50,pood,Tallinn,järelmaks
101,101,INV-202301-00101,2023-01-10 00:00:00,2668,1040,1,96.11,96.11,pood,Tartu,järelmaks
102,102,INV-202301-00102,2023-01-24 00:00:00,3648,1350,1,270.69,270.69,online,,kaart
103,103,INV-202301-00103,2023-01-23 00:00:00,4276,1155,1,209.05,209.05,pood,Tallinn,järelmaks
104,104,INV-202301-00104,2023-01-24 00:00:00,4217,1337,2,272.05,544.10,pood,Tallinn,järelmaks
105,105,INV-202301-00105,2023-01-04 00:00:00,2396,1138,2,130.73,261.46,pood,Tallinn,sularaha
106,106,INV-202301-00106,2023-01-03 00:00:00,3767,1277,1,121.51,121.51,pood,Tartu,kaart
107,107,INV-202301-00107,2023-01-10 00:00:00,3837,1108,1,371.05,371.05,pood,Tallinn,sularaha
108,108,INV-202301-00108,2023-01-08 00:00:00,3398,1139,1,106.71,106.71,pood,Tallinn,kaart
109,109,INV-202301-00109,2023-01-28 00:00:00,2735,1246,1,204.87,204.87,online,,sularaha
110,110,INV-202301-00110,2023-01-10 00:00:00,3119,1289,1,171.33,171.33,online,,kaart
111,111,INV-202301-00111,2023-01-31 00:00:00,3556,1256,1,296.40,296.40,pood,Tallinn,sularaha
112,112,INV-202301-00112,2023-01-06 00:00:00,3165,1170,1,158.51,158.51,pood,Tartu,järelmaks
113,113,INV-202301-00113,2023-01-08 00:00:00,2095,1295,1,375.34,375.34,online,,järelmaks
114,114,INV-202301-00114,2023-01-25 00:00:00,2304,1283,1,188.91,188.91,pood,Tallinn,järelmaks
115,115,INV-202301-00115,2023-01-12 00:00:00,2759,1032,2,198.42,396.84,pood,Tallinn,järelmaks
116,116,INV-202301-00116,2023-01-01 00:00:00,2441,1223,4,319.98,1279.92,pood,Tallinn,järelmaks
117,117,INV-202301-00117,2023-01-29 00:00:00,2070,1109,2,116.20,232.40,pood,Tallinn,sularaha
118,118,INV-202301-00118,2023-01-19 00:00:00,2439,1152,1,107.67,107.67,pood,Tallinn,järelmaks
119,119,INV-202301-00119,2023-01-31 00:00:00,4312,1047,1,155.84,155.84,pood,Tallinn,sularaha
120,120,INV-202301-00120,2023-01-04 00:00:00,3556,1114,1,74.70,74.70,pood,Tallinn,sularaha
121,121,INV-202301-00121,2023-01-29 00:00:00,,1103,5,173.62,868.10,online,,sularaha
122,122,INV-202301-00122,2023-01-02 00:00:00,,1135,4,175.25,701.00,pood,Tartu,sularaha
123,123,INV-202301-00123,2023-01-26 00:00:00,4105,1172,2,141.62,283.24,pood,Tallinn,sularaha
124,124,INV-202301-00124,2023-01-17 00:00:00,4206,1055,5,65.60,328.00,pood,Pärnu,sularaha
125,125,INV-202301-00125,2023-01-30 00:00:00,4141,1017,2,153.62,307.24,pood,Tallinn,järelmaks
126,126,INV-202301-00126,2023-01-20 00:00:00,,1146,1,31.65,31.65,online,,sularaha
127,127,INV-202301-00127,2023-01-17 00:00:00,4372,1214,1,250.17,250.17,pood,Pärnu,järelmaks
128,128,INV-202301-00128,2023-01-27 00:00:00,3899,1178,1,105.09,105.09,pood,Tallinn,sularaha
129,129,INV-202301-00129,2023-01-14 00:00:00,,1329,2,110.02,220.04,online,,kaart
130,130,INV-202301-00130,2023-01-31 00:00:00,,1034,2,207.23,414.46,online,,järelmaks
131,131,INV-202301-00131,2023-01-14 00:00:00,4315,1160,2,368.67,737.34,pood,Tartu,kaart
132,132,INV-202301-00132,2023-01-19 00:00:00,2635,1187,2,252.33,504.66,pood,Tallinn,sularaha
133,133,INV-202301-00133,2023-01-28 00:00:00,2272,1225,1,116.87,116.87,pood,Pärnu,järelmaks
134,134,INV-202301-00134,2023-01-20 00:00:00,4146,1217,2,34.04,68.08,online,,kaart
135,135,INV-202301-00135,2023-01-02 00:00:00,4220,1240,1,356.57,356.57,pood,Tallinn,sularaha
136,136,INV-202301-00136,2023-01-21 00:00:00,2930,1290,3,105.23,315.69,pood,Tartu,järelmaks
137,137,INV-202301-00137,2023-01-22 00:00:00,3556,1153,1,79.59,79.59,pood,Tartu,järelmaks
138,138,INV-202301-00138,2023-01-16 00:00:00,2377,1129,1,182.77,182.77,pood,Pärnu,järelmaks
139,139,INV-202301-00139,2023-01-26 00:00:00,2202,1049,1,308.84,-308.84,online,,sularaha
140,140,INV-202301-00140,2023-01-25 00:00:00,3128,1187,2,252.33,504.66,pood,Tallinn,järelmaks
141,141,INV-202301-00141,2023-01-14 00:00:00,4444,1330,3,167.23,501.69,pood,Pärnu,järelmaks
142,142,INV-202301-00142,2023-01-11 00:00:00,3525,1154,2,190.81,381.62,pood,Tallinn,järelmaks
143,143,INV-202301-00143,2023-01-14 00:00:00,2980,1136,3,94.25,282.75,online,,sularaha
144,144,INV-202301-00144,2023-01-07 00:00:00,3446,1009,5,332.55,1662.75,pood,Tallinn,järelmaks
145,145,INV-202301-00145,2023-01-07 00:00:00,3240,1215,3,160.91,482.73,pood,Tallinn,kaart
146,146,INV-202301-00146,2023-01-02 00:00:00,2652,1327,2,110.70,221.40,pood,Tallinn,kaart
147,147,INV-202301-00147,2023-01-17 00:00:00,3249,1274,3,234.79,704.37,pood,Tallinn,sularaha
148,148,INV-202301-00148,2023-01-09 00:00:00,3995,1272,1,183.31,183.31,pood,Tartu,kaart
149,149,INV-202301-00149,2023-01-05 00:00:00,2597,1332,1,81.85,81.85,online,,järelmaks
150,150,INV-202301-00150,2023-01-18 00:00:00,3429,1216,1,273.06,273.06,online,,kaart
151,151,INV-202301-00151,2023-01-03 00:00:00,3924,1157,2,91.22,182.44,online,,sularaha
152,152,INV-202301-00152,2023-01-01 00:00:00,3556,1128,3,321.68,823.50,pood,Pärnu,kaart
153,153,INV-202301-00153,2023-01-18 00:00:00,4833,1277,2,121.51,243.02,pood,Tallinn,sularaha
154,154,INV-202301-00154,2023-01-21 00:00:00,2997,1209,5,252.10,1260.50,online,,järelmaks
155,155,INV-202301-00155,2023-01-22 00:00:00,2761,1035,1,65.52,65.52,pood,Pärnu,sularaha
156,156,INV-202301-00156,2023-01-01 00:00:00,4288,1204,1,63.95,63.95,pood,Tallinn,kaart
157,157,INV-202301-00157,2023-01-05 00:00:00,3648,1338,1,282.29,282.29,pood,Tartu,järelmaks
158,158,INV-202301-00158,2023-01-18 00:00:00,3692,1143,1,307.83,307.83,pood,Tartu,järelmaks
159,159,INV-202301-00159,2023-01-09 00:00:00,3984,1083,1,72.14,72.14,pood,Tallinn,sularaha
160,160,INV-202301-00160,2023-01-23 00:00:00,2265,1033,2,221.42,442.84,online,,järelmaks
161,161,INV-202301-00161,2023-01-02 00:00:00,4458,1128,1,274.50,274.50,pood,Tallinn,järelmaks
162,162,INV-202301-00162,2023-01-07 00:00:00,2534,1016,2,54.81,109.62,pood,Pärnu,järelmaks
163,163,INV-202301-00163,2023-01-17 00:00:00,,1041,2,107.36,214.72,online,,kaart
164,164,INV-202301-00164,2023-01-24 00:00:00,,1080,2,51.50,103.00,pood,Tartu,kaart
165,165,INV-202301-00165,2023-01-26 00:00:00,4324,1047,1,155.84,155.84,online,,järelmaks
166,166,INV-202301-00166,2023-01-18 00:00:00,3197,1117,2,72.58,145.16,online,,kaart
167,167,INV-202301-00167,2023-01-26 00:00:00,3605,1104,3,191.48,574.44,pood,Tallinn,sularaha
168,168,INV-202301-00168,2023-01-04 00:00:00,4556,1092,2,186.12,288.40,online,,kaart
169,169,INV-202301-00169,2023-01-09 00:00:00,2976,1235,3,232.27,632.61,pood,Pärnu,sularaha
170,170,INV-202301-00170,2023-01-04 00:00:00,,1111,1,327.07,327.07,pood,Tallinn,sularaha
171,171,INV-202301-00171,2023-01-22 00:00:00,4080,1346,3,258.91,776.73,pood,Tallinn,järelmaks
172,172,INV-202301-00172,2023-01-11 00:00:00,2535,1323,1,151.08,151.08,pood,Pärnu,järelmaks
173,173,INV-202301-00173,2023-01-14 00:00:00,3894,1305,1,50.77,50.77,pood,Tallinn,kaart
174,174,INV-202301-00174,2023-01-24 00:00:00,2372,1229,2,210.76,421.52,pood,Tartu,kaart
175,175,INV-202301-00175,2023-01-29 00:00:00,4949,1145,2,338.43,676.86,pood,Tallinn,kaart
176,176,INV-202301-00176,2023-01-21 00:00:00,,1350,1,270.69,270.69,pood,Tallinn,kaart
177,177,INV-202301-00177,2023-01-08 00:00:00,3921,1018,1,47.07,47.07,pood,Tallinn,kaart
178,178,INV-202301-00178,2023-01-20 00:00:00,4321,1013,2,218.99,437.98,pood,Tartu,järelmaks
179,179,INV-202301-00179,2023-01-27 00:00:00,4409,1292,1,74.81,74.81,online,,järelmaks
180,180,INV-202301-00180,2023-01-10 00:00:00,2547,1011,1,53.99,53.99,pood,Tallinn,järelmaks
181,181,INV-202301-00181,2023-01-17 00:00:00,4643,1274,1,234.79,234.79,pood,Tartu,kaart
182,182,INV-202301-00182,2023-01-12 00:00:00,4480,1034,1,207.23,207.23,pood,Tartu,kaart
183,183,INV-202301-00183,2023-01-19 00:00:00,4119,1304,2,210.36,420.72,pood,Pärnu,sularaha
184,184,INV-202301-00184,2023-01-02 00:00:00,4677,1004,1,41.63,41.63,pood,Tartu,kaart
185,185,INV-202301-00185,2023-01-05 00:00:00,2554,1182,1,180.14,180.14,online,,sularaha
186,186,INV-202301-00186,2023-01-23 00:00:00,2257,1181,2,142.57,285.14,pood,Tartu,sularaha
187,187,INV-202301-00187,2023-01-16 00:00:00,4534,1039,1,282.95,282.95,online,,järelmaks
188,188,INV-202301-00188,2023-01-05 00:00:00,2484,1072,2,95.39,190.78,online,,sularaha
189,189,INV-202301-00189,2023-01-19 00:00:00,3356,1279,1,66.21,66.21,online,,kaart
190,190,INV-202301-00190,2023-01-05 00:00:00,3443,1017,3,153.62,460.86,online,,kaart
191,191,INV-202301-00191,2023-01-20 00:00:00,4054,1209,2,252.10,504.20,pood,Tallinn,järelmaks
192,192,INV-202301-00192,2023-01-05 00:00:00,2876,1211,2,225.28,450.56,online,,järelmaks
193,193,INV-202301-00193,2023-01-20 00:00:00,3236,1267,1,66.88,66.88,pood,Tallinn,järelmaks
194,194,INV-202301-00194,2023-01-24 00:00:00,3486,1223,1,319.98,-319.98,online,,kaart
195,195,INV-202301-00195,2023-01-05 00:00:00,4070,1070,2,139.74,-279.48,pood,Tallinn,sularaha
196,196,INV-202301-00196,2023-01-20 00:00:00,3696,1060,5,253.26,1266.30,online,,järelmaks
197,197,INV-202301-00197,2023-01-19 00:00:00,2954,1058,4,302.86,1211.44,pood,Tartu,sularaha
198,198,INV-202301-00198,2023-01-09 00:00:00,3856,1243,1,184.02,184.02,pood,Tartu,kaart
199,199,INV-202301-00199,2023-01-20 00:00:00,4745,1278,1,263.13,263.13,pood,Tallinn,sularaha
200,200,INV-202301-00200,2023-01-22 00:00:00,,1078,1,42.64,42.64,pood,Pärnu,sularaha
201,201,INV-202301-00201,2023-01-08 00:00:00,3665,1076,1,89.29,89.29,pood,Tallinn,järelmaks
202,202,INV-202301-00202,2023-01-31 00:00:00,2711,1291,2,219.83,439.66,pood,Tallinn,järelmaks
203,203,INV-202301-00203,2023-01-05 00:00:00,2577,1337,2,272.05,544.10,pood,Tallinn,sularaha
204,204,INV-202301-00204,2023-01-02 00:00:00,4119,1211,1,225.28,225.28,pood,Tallinn,kaart
205,205,INV-202301-00205,2023-01-09 00:00:00,4768,1113,3,86.46,259.38,pood,Tallinn,sularaha
206,206,INV-202301-00206,2023-01-05 00:00:00,4481,1218,2,108.09,216.18,online,,kaart
207,207,INV-202301-00207,2023-01-04 00:00:00,4206,1030,1,112.68,112.68,pood,Pärnu,järelmaks
208,208,INV-202301-00208,2023-01-19 00:00:00,3556,1008,3,280.13,840.39,pood,Pärnu,kaart
209,209,INV-202301-00209,2023-01-19 00:00:00,,1108,4,371.05,1484.20,pood,Tallinn,sularaha
210,210,INV-202301-00210,2023-01-06 00:00:00,3041,1043,2,128.44,256.88,pood,Tallinn,sularaha
211,211,INV-202301-00211,2023-01-14 00:00:00,3853,1236,4,205.89,823.56,pood,Tallinn,kaart
212,212,INV-202301-00212,2023-01-26 00:00:00,4599,1145,2,338.43,676.86,online,,sularaha
213,213,INV-202301-00213,2023-01-05 00:00:00,3085,1303,1,312.41,312.41,pood,Tallinn,sularaha
214,214,INV-202301-00214,2023-01-14 00:00:00,4868,1190,3,138.13,-414.39,pood,Tallinn,kaart
215,215,INV-202301-00215,2023-01-24 00:00:00,2997,1342,1,208.11,208.11,pood,Tartu,kaart
216,216,INV-202301-00216,2023-01-06 00:00:00,2735,1241,1,368.97,368.97,pood,Tartu,järelmaks
217,217,INV-202301-00217,2023-01-17 00:00:00,3384,1261,1,305.72,305.72,pood,Tallinn,järelmaks
218,218,INV-202301-00218,2023-01-14 00:00:00,3128,1168,1,316.04,316.04,online,,kaart
219,219,INV-202301-00219,2023-01-29 00:00:00,4460,1249,1,73.90,73.90,pood,Tallinn,kaart
220,220,INV-202301-00220,2023-01-01 00:00:00,4864,1135,2,175.25,350.50,pood,Pärnu,kaart
221,221,INV-202301-00221,2023-01-22 00:00:00,,1334,1,24.67,24.67,pood,Tallinn,järelmaks
222,222,INV-202301-00222,2023-01-15 00:00:00,,1080,2,51.50,-103.00,pood,Pärnu,sularaha
223,223,INV-202301-00223,2023-01-23 00:00:00,4266,1199,2,276.97,553.94,pood,Tallinn,sularaha
224,224,INV-202301-00224,2023-01-06 00:00:00,2744,1006,3,319.42,958.26,pood,Tallinn,kaart
225,225,INV-202301-00225,2023-01-20 00:00:00,,1178,2,105.09,210.18,pood,Tallinn,sularaha
226,226,INV-202301-00226,2023-01-15 00:00:00,4178,1045,1,176.65,176.65,pood,Tallinn,kaart
227,227,INV-202301-00227,2023-01-15 00:00:00,4024,1126,3,200.77,602.31,pood,Tallinn,kaart
228,228,INV-202301-00228,2023-01-04 00:00:00,,1201,4,147.16,588.64,pood,Tallinn,sularaha
229,229,INV-202301-00229,2023-01-02 00:00:00,4150,1089,1,134.58,134.58,pood,Tallinn,kaart
230,230,INV-202301-00230,2023-01-31 00:00:00,4643,1142,1,307.27,307.27,online,,kaart
231,231,INV-202301-00231,2023-01-13 00:00:00,2819,1328,1,274.87,274.87,online,,järelmaks
232,232,INV-202301-00232,2023-01-11 00:00:00,4235,1261,1,305.72,305.72,pood,Tallinn,kaart
233,233,INV-202301-00233,2023-01-10 00:00:00,4467,1012,2,160.21,-320.42,online,,sularaha
234,234,INV-202301-00234,2023-01-12 00:00:00,3854,1119,3,181.68,545.04,online,,järelmaks
235,235,INV-202301-00235,2023-01-17 00:00:00,4178,1333,4,218.54,874.16,pood,Tallinn,järelmaks
236,236,INV-202301-00236,2023-01-25 00:00:00,4414,1239,1,78.09,78.09,pood,Tallinn,kaart
237,237,INV-202301-00237,2023-01-23 00:00:00,2041,1051,3,208.83,626.49,pood,Tallinn,sularaha
238,238,INV-202301-00238,2023-01-23 00:00:00,4544,1047,1,155.84,155.84,online,,sularaha
239,239,INV-202301-00239,2023-01-05 00:00:00,2518,1248,1,169.92,145.50,pood,Tallinn,sularaha
240,240,INV-202301-00240,2023-01-14 00:00:00,4533,1296,3,301.97,905.91,pood,Tallinn,kaart
241,241,INV-202301-00241,2023-01-10 00:00:00,3332,1008,2,280.13,560.26,online,,kaart
242,242,INV-202301-00242,2023-01-20 00:00:00,3654,1120,2,206.34,412.68,pood,Tallinn,järelmaks
243,243,INV-202301-00243,2023-01-12 00:00:00,2141,1278,1,263.13,263.13,online,,kaart
244,244,INV-202301-00244,2023-01-03 00:00:00,3861,1345,2,225.81,451.62,pood,Tartu,kaart
245,245,INV-202301-00245,2023-01-20 00:00:00,,1158,1,70.01,70.01,pood,Tallinn,sularaha
246,246,INV-202301-00246,2023-01-01 00:00:00,3110,1333,1,218.54,218.54,online,,kaart
247,247,INV-202301-00247,2023-01-12 00:00:00,4322,1153,2,79.59,159.18,online,,kaart
248,248,INV-202301-00248,2023-01-12 00:00:00,2036,1245,2,228.81,457.62,online,,kaart
249,249,INV-202301-00249,2023-01-25 00:00:00,4624,1177,3,135.99,407.97,pood,Tallinn,kaart
250,250,INV-202301-00250,2023-01-28 00:00:00,3644,1082,1,100.93,100.93,pood,Tallinn,sularaha
251,251,INV-202301-00251,2023-01-11 00:00:00,3398,1321,1,183.40,183.40,pood,Tallinn,järelmaks
252,252,INV-202301-00252,2023-01-07 00:00:00,4330,1029,1,184.15,184.15,pood,Tartu,sularaha
253,253,INV-202301-00253,2023-01-25 00:00:00,3825,1281,2,292.61,585.22,pood,Tallinn,järelmaks
254,254,INV-202301-00254,2023-01-01 00:00:00,4593,1135,1,175.25,175.25,pood,Pärnu,järelmaks
255,255,INV-202301-00255,2023-01-29 00:00:00,2218,1335,3,201.86,605.58,pood,Tartu,järelmaks
256,256,INV-202301-00256,2023-01-06 00:00:00,4150,1086,1,149.47,149.47,pood,Pärnu,järelmaks
